"","province","max","min","wind","wind_d","rain","humidi","cloud","pressure","date"
"1","Ha Noi",19,14,3,"ENE",0.8,91,85,1018,2009-02-01
"2","Ha Noi",24,17,6,"ESE",0.8,84,72,1017,2009-02-02
"3","Ha Noi",25,17,6,"SE",0,79,54,1016,2009-02-03
"4","Ha Noi",28,18,7,"ESE",0,64,19,1018,2009-02-06
"5","Ha Noi",26,17,7,"SE",0,78,43,1017,2009-02-05
"6","Ha Noi",29,16,8,"ESE",0,70,20,1018,2009-02-08
"7","Ha Noi",28,17,7,"SE",0,77,40,1016,2009-02-04
"8","Ha Noi",32,16,5,"E",0,68,15,1018,2009-02-09
"9","Ha Noi",28,16,8,"SE",0,71,13,1017,2009-02-07
"10","Ha Noi",38,23,8,"SSW",0,40,0,1004,2009-02-13
"11","Ha Noi",33,17,5,"SE",0,64,7,1017,2009-02-10
"12","Ha Noi",37,23,10,"SE",0,56,0,1008,2009-02-15
"13","Ha Noi",34,20,10,"SE",0,71,27,1012,2009-02-16
"14","Ha Noi",30,22,13,"SE",0.3,73,55,1014,2009-02-17
"15","Ha Noi",32,21,14,"SSE",0.7,72,52,1011,2009-02-19
"16","Ha Noi",31,19,10,"SSE",0,62,7,1012,2009-02-11
"17","Ha Noi",37,19,10,"S",0,54,4,1005,2009-02-12
"18","Ha Noi",24,19,9,"SE",1,83,91,1012,2009-02-21
"19","Ha Noi",35,22,10,"SE",0.5,73,43,1006,2009-02-22
"20","Ha Noi",37,23,10,"SE",0,63,16,1007,2009-02-23
"21","Ha Noi",37,25,11,"SE",0,58,12,1008,2009-02-24
"22","Ha Noi",23,20,8,"E",3.6,80,97,1016,2009-02-20
"23","Ha Noi",34,23,13,"SE",0.2,67,28,1010,2009-02-26
"24","Ha Noi",32,23,12,"SE",2.1,72,54,1011,2009-02-27
"25","Ha Noi",29,21,11,"SE",0.4,77,52,1013,2009-02-18
"26","Ha Noi",40,23,6,"SE",0,43,0,1006,2009-02-14
"27","Ha Noi",25,21,9,"E",2.5,79,92,1014,2009-02-28
"28","Ha Noi",35,24,10,"SE",0,66,17,1009,2009-02-25
